Compound,CircuitKey,Era,pool_level,b,c,b_ci,c_ci,r2,n_stints,n_laps,temp_ref,b_temp,c_temp
INTERMEDIATE,Canadian Grand Prix,0,circuit,-0.49999999999999867,0.008014588319350025,0.061657629429182875,0.0021758800647607014,0.3752,36,394,25.8,-0.009999999999999998,0.0002909323362447893
INTERMEDIATE,Dutch Grand Prix,0,circuit,0.39476323794010615,-0.04396765980029145,0.23865609366424512,0.013787891370150589,0.2788,31,206,25.6,-0.009999999999999998,0.0002909323362447893
INTERMEDIATE,Emilia Romagna Grand Prix,0,circuit,-0.49999999999999994,0.031599895607793346,0.18580055963899814,0.009157179127781936,0.4352,18,250,17.0,-0.009999999999999998,0.0002909323362447893
INTERMEDIATE,Monaco Grand Prix,0,circuit,-0.29669251838674054,-0.004350154722607223,0.15978883189378282,0.009715142654207353,0.433,22,187,36.66,-0.009999999999999998,0.0002909323362447893
INTERMEDIATE,São Paulo Grand Prix,0,circuit,-0.16022864911417653,-9.926152606658883e-05,0.039130108773003734,0.0012317419429213473,0.3092,33,686,25.1,-0.009999999999999998,0.0002909323362447893
MEDIUM,Abu Dhabi Grand Prix,0,circuit,0.039880614216962075,0.002713761697303419,0.027862134932208644,0.001427539417287853,0.2751,44,705,33.52,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Australian Grand Prix,0,circuit,0.026899504068162366,-0.0008664922894277514,0.02888787202212778,0.001142560756770542,-0.0019,33,405,36.57,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Australian Grand Prix,1,circuit,-0.0741107206828957,0.0032000338846143173,0.04046121478144794,0.0019938182658482636,0.0364,18,223,35.95,0.006481803447626622,-0.0001066954323061197
MEDIUM,Austrian Grand Prix,0,circuit,0.06325021431320242,0.0008637378666753149,0.014897658976552628,0.0005998124589304272,0.3222,95,1591,41.37,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Bahrain Grand Prix,0,circuit,0.12234471474464814,-0.000844390903287548,0.018315195242652148,0.0008765729443631313,0.4253,49,775,30.13,0.004322099629111507,-5.409007122080899e-05
MEDIUM,British Grand Prix,0,circuit,0.021091527602860722,-5.5744770030869e-05,0.020902355696917015,0.0008269891024915484,0.029,69,1307,27.97,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Canadian Grand Prix,0,circuit,-0.10037668060172976,0.002380528368457377,0.030712120349523978,0.0012228552234275498,0.0483,77,989,37.36,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Canadian Grand Prix,1,circuit,-0.16108820857156933,0.003997029563259804,0.02366171978945022,0.0006878996552190613,0.1446,22,490,17.9,0.006481803447626622,-0.0001066954323061197
MEDIUM,Chinese Grand Prix,0,circuit,0.23993307792421228,-0.0066169555148348205,0.03808317194995455,0.001849383672046654,0.1891,44,504,32.17,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Chinese Grand Prix,1,circuit,0.02844674628813742,0.0053070140534604545,0.07713143343385896,0.004459663494093763,0.3212,14,145,22.4,0.006481803447626622,-0.0001066954323061197
MEDIUM,Dutch Grand Prix,0,circuit,0.01971281625212421,0.001423957317469563,0.012482626229660378,0.0005138619950317158,0.266,70,1424,30.54,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Emilia Romagna Grand Prix,0,circuit,-0.035388739290986494,-0.0009054124133654331,0.02233082130355537,0.0006478582395530551,0.1006,62,1477,30.93,0.004322099629111507,-5.409007122080899e-05
MEDIUM,French Grand Prix,0,circuit,0.10269940710380755,-0.002745416482415988,0.016026795457410727,0.0007161329688507978,0.1947,21,303,55.45,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Hungarian Grand Prix,0,circuit,0.03644155663190243,0.00042573670842829266,0.011356915832122177,0.00041599526395592743,0.1614,96,2011,36.32,0.004322099629111507,-5.409007122080899e-05
MEDIUM,Italian Grand Prix,0,circuit,0.016439723052169807,5.041376715842875e-05,0.014667723234928966,0.0005238017416796494,0.018,76,1459,44.39,0.004322099629111507,-5.409007122080899e-05
