seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10089,5263.307295209482,5261.99019613821,2.0,2.0,1.0,1.0,-1.3170990712715138
10090,5297.811988250152,5272.712618586761,3.0,1.0,1.0,1.0,-25.09936966339137
10091,5259.680638260635,5258.397719035968,2.0,2.0,1.0,1.0,-1.2829192246663297
10092,5329.598692287073,5329.213624486861,4.0,4.0,1.0,1.0,-0.3850678002127097
10093,5269.938352879967,5267.908186350319,2.0,2.0,1.0,1.0,-2.0301665296483407
10094,5256.67323838117,5256.172929636024,2.0,2.0,1.0,1.0,-0.5003087451468673
10095,5265.345001530348,5317.126700387911,3.0,4.0,1.0,1.0,51.78169885756324
10096,5296.055234208666,5297.554155682536,2.0,2.0,1.0,1.0,1.4989214738698138
10097,5263.393328091803,5247.4740279246535,1.0,1.0,1.0,1.0,-15.919300167149231
10098,5255.987847571137,5260.021042204101,3.0,3.0,1.0,1.0,4.033194632964296
10099,5255.394745761519,5261.51331074623,2.0,2.0,1.0,1.0,6.118564984711156
10100,5253.704967677109,5258.793508250998,1.0,1.0,1.0,1.0,5.088540573888167
10101,5267.13397095997,5279.573248126802,3.0,3.0,1.0,1.0,12.439277166832653
10102,5272.260065974892,5272.12353444297,2.0,2.0,1.0,1.0,-0.13653153192262835
10103,5294.509877501211,5305.005667672273,3.0,3.0,1.0,1.0,10.495790171062254
10104,5357.39942655312,5290.819980949764,4.0,3.0,1.0,1.0,-66.57944560335636
10105,5296.614827040827,5303.119937254419,3.0,3.0,1.0,1.0,6.505110213592161
10106,5247.210368786225,5251.715875100163,2.0,2.0,1.0,1.0,4.505506313937985
10107,5308.916805167007,5292.451476781796,4.0,3.0,1.0,1.0,-16.46532838521034
10108,5244.19281868869,5273.962256304925,2.0,3.0,1.0,1.0,29.769437616235336
10109,5257.478753443648,5257.478753443648,3.0,3.0,1.0,1.0,0.0
10110,5270.4765930260255,5274.139033381128,3.0,3.0,1.0,1.0,3.6624403551022624
10111,5266.9178453316545,5263.7100723802,3.0,3.0,1.0,1.0,-3.207772951454899
10112,5279.332448335484,5275.327451545277,2.0,2.0,1.0,1.0,-4.00499679020686
10113,5330.418536270043,5303.722527444169,3.0,3.0,1.0,1.0,-26.696008825873832
10114,5313.866184281997,5314.931238777197,3.0,3.0,1.0,1.0,1.065054495199547
10115,5238.918483100015,5242.2825008077425,1.0,1.0,1.0,1.0,3.364017707727726
10116,5274.274758206522,5278.149704382413,3.0,3.0,1.0,1.0,3.8749461758907273
10117,5254.701822132053,5258.165311149867,2.0,3.0,1.0,1.0,3.4634890178140267
10118,5239.477188457715,5238.908517081416,2.0,2.0,1.0,1.0,-0.5686713762988802
10119,5280.071075716245,5284.729232365639,4.0,4.0,1.0,1.0,4.658156649394186
10120,5279.025127660977,5262.979561247598,3.0,2.0,1.0,1.0,-16.045566413378765
10121,5254.8592206824205,5263.54371846176,2.0,2.0,1.0,1.0,8.684497779339836
10122,5290.045673349845,5284.719645710702,3.0,3.0,1.0,1.0,-5.3260276391429215
10123,5279.989567183203,5279.045901934151,3.0,3.0,1.0,1.0,-0.9436652490521737
10124,5256.956287710376,5269.984628332246,3.0,3.0,1.0,1.0,13.028340621869575
10125,5310.199613550848,5323.117732987407,4.0,4.0,1.0,1.0,12.91811943655921
10126,5244.764730530837,5243.26920707804,2.0,3.0,1.0,1.0,-1.4955234527969878
10127,5252.811076328926,5254.964997262374,2.0,2.0,1.0,1.0,2.1539209334478073
10128,5258.230174537945,5259.231301824881,1.0,1.0,1.0,1.0,1.0011272869360255
10129,5246.679753114235,5238.592930153761,1.0,1.0,1.0,1.0,-8.08682296047391
10130,5271.516441774539,5273.988174123928,3.0,3.0,1.0,1.0,2.4717323493887307
10131,5262.404902538783,5256.123456968111,2.0,1.0,1.0,1.0,-6.281445570672076
10132,5299.028115145122,5266.026504078878,3.0,3.0,1.0,1.0,-33.00161106624364
10133,5248.879774534471,5283.450155728741,2.0,3.0,1.0,1.0,34.57038119427034
10134,5298.463496354963,5298.434949273104,3.0,3.0,1.0,1.0,-0.028547081858960155
10135,5271.621055798905,5249.413520400012,2.0,2.0,1.0,1.0,-22.207535398893015
10136,5253.403777125654,5258.395923910658,2.0,2.0,1.0,1.0,4.99214678500357
10137,5254.098936791897,5249.1249325526915,2.0,2.0,1.0,1.0,-4.974004239205897
10138,5346.3136004379085,5310.56249412438,5.0,4.0,1.0,1.0,-35.75110631352891
10139,5275.95156676815,5273.41640285123,3.0,2.0,1.0,1.0,-2.5351639169202826
10140,5285.901087581834,5280.653875345061,3.0,3.0,1.0,1.0,-5.2472122367726115
10141,5290.950040781324,5292.411170301417,3.0,3.0,1.0,1.0,1.4611295200929817
