seed,mdp_time_s,ppo_time_s,mdp_finish,ppo_finish,mdp_legal,ppo_legal,ppo_minus_mdp_time_s
10147,5268.293553807893,5252.58878768976,2.0,2.0,1.0,1.0,-15.704766118133193
10148,5240.883597833722,5244.491174231508,2.0,2.0,1.0,1.0,3.6075763977860333
10149,5281.939679973047,5276.529138346736,3.0,3.0,1.0,1.0,-5.410541626310987
10150,5256.326437395587,5268.3263587480915,3.0,3.0,1.0,1.0,11.999921352504316
10151,5247.272894195719,5245.835411681862,2.0,2.0,1.0,1.0,-1.4374825138575034
10152,5342.299538240275,5293.796568947548,5.0,3.0,1.0,1.0,-48.50296929272736
10153,5283.037362450703,5288.58318302074,4.0,3.0,1.0,1.0,5.5458205700369945
10154,5248.241493996961,5248.928753243582,2.0,2.0,1.0,1.0,0.6872592466206697
10155,5276.805264825512,5303.985456722969,3.0,3.0,1.0,1.0,27.180191897457007
10156,5266.734940957578,5280.026294878632,3.0,1.0,1.0,1.0,13.291353921053997
10157,5274.387181273041,5267.378703460445,3.0,3.0,1.0,1.0,-7.008477812596539
10158,5290.795167678095,5309.881832798408,3.0,4.0,1.0,1.0,19.086665120313228
10159,5302.081350997225,5247.451397718876,3.0,2.0,1.0,1.0,-54.629953278348694
10160,5274.8511302351,5270.0619532426435,3.0,3.0,1.0,1.0,-4.789176992456305
10161,5350.7271383674,5375.495054969011,5.0,6.0,1.0,1.0,24.767916601611432
10162,5247.676415056519,5256.2486420274145,2.0,2.0,1.0,1.0,8.572226970895827
10163,5250.667123464563,5246.161011169168,2.0,2.0,1.0,1.0,-4.506112295394814
10164,5256.6982358783,5275.942860925184,3.0,3.0,1.0,1.0,19.24462504688381
10165,5255.327011814623,5262.864500157377,2.0,2.0,1.0,1.0,7.537488342753932
10166,5274.487334546447,5274.544174010308,3.0,3.0,1.0,1.0,0.056839463861251716
10167,5285.331895381739,5264.323406607231,3.0,3.0,1.0,1.0,-21.008488774507896
10168,5231.426345096026,5252.262074059029,1.0,1.0,1.0,1.0,20.83572896300302
10169,5288.743170847807,5251.322114014672,3.0,2.0,1.0,1.0,-37.42105683313548
10170,5255.482288791966,5299.5543533510245,2.0,3.0,1.0,1.0,44.07206455905816
10171,5251.576871524599,5280.840985518081,1.0,2.0,1.0,1.0,29.26411399348217
10172,5268.375392182059,5285.907927419438,2.0,3.0,1.0,1.0,17.532535237379307
10173,5248.689860499295,5236.9846477512765,2.0,1.0,1.0,1.0,-11.705212748018312
10174,5278.321265219586,5268.203083915785,3.0,3.0,1.0,1.0,-10.118181303801066
10175,5256.249006012714,5283.393012262246,1.0,3.0,1.0,1.0,27.14400624953214
10176,5267.489732051383,5258.933923749338,2.0,2.0,1.0,1.0,-8.55580830204508
10177,5340.3608272562215,5349.574019815224,5.0,4.0,1.0,1.0,9.213192559002891
10178,5293.050917641469,5295.753180475655,4.0,4.0,1.0,1.0,2.702262834186513
10179,5270.773438413769,5286.802870605528,2.0,3.0,1.0,1.0,16.029432191759042
10180,5251.659230966063,5256.4931488158745,2.0,2.0,1.0,1.0,4.833917849811769
10181,5314.07905122214,5359.689640562975,4.0,5.0,1.0,1.0,45.61058934083485
10182,5265.165632772774,5260.402734077789,3.0,3.0,1.0,1.0,-4.7628986949848695
10183,5267.766511389503,5249.153751302853,1.0,1.0,1.0,1.0,-18.61276008664936
10184,5260.11295099039,5252.891181945672,1.0,1.0,1.0,1.0,-7.221769044718712
10185,5245.409198077603,5263.505699561753,1.0,1.0,1.0,1.0,18.096501484150394
10186,5289.775072652268,5289.775072652268,3.0,3.0,1.0,1.0,0.0
10187,5278.1295536016905,5270.480094849543,3.0,3.0,1.0,1.0,-7.649458752147439
10188,5276.725109989769,5247.606523428461,3.0,2.0,1.0,1.0,-29.118586561308803
10189,5268.573227787132,5266.763272758452,2.0,2.0,1.0,1.0,-1.809955028679724
10190,5249.060238708513,5267.374588013381,2.0,1.0,1.0,1.0,18.3143493048683
10191,5264.35863810261,5260.634910761147,3.0,3.0,1.0,1.0,-3.723727341463018
10192,5261.56343459144,5256.961195938166,2.0,2.0,1.0,1.0,-4.602238653273162
10193,5268.911323045835,5261.652339712045,3.0,3.0,1.0,1.0,-7.258983333789729
10194,5262.787860532231,5262.879702543379,2.0,2.0,1.0,1.0,0.09184201114749158
10195,5251.4415816099645,5261.00336195561,2.0,2.0,1.0,1.0,9.561780345645275
10196,5278.132918738504,5261.437867361006,3.0,2.0,1.0,1.0,-16.695051377497293
10197,5289.198301303046,5289.193609812344,3.0,3.0,1.0,1.0,-0.0046914907015889185
10198,5305.608050466573,5267.004471960178,4.0,2.0,1.0,1.0,-38.603578506395024
10199,5260.060022132468,5260.302883867718,2.0,2.0,1.0,1.0,0.24286173525069898
AGGREGATE,5274.743598185163,5275.941421927594,2.62,2.52,1.0,1.0,1.197823742431251
